town_low,town_high,distance_mi,rank,category,white_pct,school_to_school
Lynn,Swampscott,0.0,0,white_pct_low,13.0,Lynn-Swampscott
Lawrence,North Andover,0.0,1,white_pct_low,3.2,Lawrence-North Andover
Salem,Swampscott,0.0,2,white_pct_low,42.4,Salem-Swampscott
Salem,Marblehead,0.0,3,white_pct_low,42.4,Salem-Marblehead
Lawrence,Andover,0.0,4,white_pct_low,3.2,Lawrence-Andover
Lynn,Salem,0.0,5,white_pct_low,13.0,Lynn-Salem
Swampscott,Marblehead,0.0,6,white_pct_low,78.1,Swampscott-Marblehead
Beverly,Danvers,0.0,7,white_pct_low,75.0,Beverly-Danvers
Peabody,Lynnfield,0.0,8,white_pct_low,72.5,Peabody-Lynnfield
Lawrence,Methuen,0.0,9,white_pct_low,3.2,Lawrence-Methuen
Peabody,Danvers,0.0,10,white_pct_low,72.5,Peabody-Danvers
Methuen,North Andover,0.0,11,white_pct_low,42.6,Methuen-North Andover
Andover,North Andover,0.0,12,white_pct_low,66.5,Andover-North Andover
Danvers,Topsfield,0.0,13,white_pct_low,83.6,Danvers-Topsfield
Salisbury,Georgetown,0.0,14,white_pct_low,90.1,Salisbury-Georgetown
Amesbury,Newburyport,0.0,15,white_pct_low,82.6,Amesbury-Newburyport
Lynn,Marblehead,0.0,16,white_pct_low,13.0,Lynn-Marblehead
Ipswich,Hamilton,0.0,17,white_pct_low,86.3,Ipswich-Hamilton
Salem,Peabody,0.0,18,white_pct_low,42.4,Salem-Peabody
Lynn,Saugus,0.0,19,white_pct_low,13.0,Lynn-Saugus
Merrimac,Georgetown,0.0,20,white_pct_low,89.9,Merrimac-Georgetown
Gloucester,Rockport,0.0,21,white_pct_low,79.7,Gloucester-Rockport
Salem,Beverly,0.0,22,white_pct_low,42.4,Salem-Beverly
Beverly,Hamilton,0.0,23,white_pct_low,75.0,Beverly-Hamilton
Haverhill,Groveland,0.0,24,white_pct_low,49.7,Haverhill-Groveland
Peabody,Beverly,0.0,25,white_pct_low,72.5,Peabody-Beverly
Lynn,Peabody,0.0,26,white_pct_low,13.0,Lynn-Peabody
Methuen,Haverhill,0.0,27,white_pct_low,42.6,Methuen-Haverhill
Newbury,Newburyport,0.0,28,white_pct_low,90.1,Newbury-Newburyport
Beverly,Marblehead,0.0,29,white_pct_low,75.0,Beverly-Marblehead
Gloucester,Manchester,0.0,30,white_pct_low,79.7,Gloucester-Manchester
Ipswich,Newbury,0.0,31,white_pct_low,86.3,Ipswich-Newbury
Hamilton,Manchester,0.0,32,white_pct_low,87.8,Hamilton-Manchester
Peabody,Swampscott,0.0,33,white_pct_low,72.5,Peabody-Swampscott
Methuen,Andover,0.0,34,white_pct_low,42.6,Methuen-Andover
Salem,Danvers,0.0,35,white_pct_low,42.4,Salem-Danvers
Danvers,Hamilton,0.0,36,white_pct_low,83.6,Danvers-Hamilton
Saugus,Swampscott,0.0,37,white_pct_low,62.5,Saugus-Swampscott
Saugus,Lynnfield,0.0,38,white_pct_low,62.5,Saugus-Lynnfield
Peabody,Middleton,0.0,39,white_pct_low,72.5,Peabody-Middleton
Groveland,Newbury,0.0,40,white_pct_low,89.9,Groveland-Newbury
Amesbury,Groveland,0.0,41,white_pct_low,82.6,Amesbury-Groveland
Lynnfield,Danvers,0.0,42,white_pct_low,82.2,Lynnfield-Danvers
Beverly,Manchester,0.0,43,white_pct_low,75.0,Beverly-Manchester
Haverhill,North Andover,0.0,44,white_pct_low,49.7,Haverhill-North Andover
Beverly,Swampscott,0.0,45,white_pct_low,75.0,Beverly-Swampscott
Lynn,Lynnfield,0.0,46,white_pct_low,13.0,Lynn-Lynnfield
Saugus,Peabody,0.0,47,white_pct_low,62.5,Saugus-Peabody
Beverly,Middleton,0.0,48,white_pct_low,75.0,Beverly-Middleton
Peabody,Marblehead,0.0,49,white_pct_low,72.5,Peabody-Marblehead
Salem,Saugus,0.0,50,white_pct_low,42.4,Salem-Saugus
Hamilton,Middleton,0.0,51,white_pct_low,87.8,Hamilton-Middleton
Salem,Lynnfield,0.0,52,white_pct_low,42.4,Salem-Lynnfield
Lynnfield,Boxford,0.0,53,white_pct_low,82.2,Lynnfield-Boxford
Merrimac,Newburyport,0.0,54,white_pct_low,89.9,Merrimac-Newburyport
North Andover,Georgetown,0.0,55,white_pct_low,72.5,North Andover-Georgetown
Lynn,Beverly,0.0,56,white_pct_low,13.0,Lynn-Beverly
Boxford,Georgetown,0.0,57,white_pct_low,90.0,Boxford-Georgetown
Lawrence,Haverhill,0.0,58,white_pct_low,3.2,Lawrence-Haverhill
Danvers,Marblehead,0.0,59,white_pct_low,83.6,Danvers-Marblehead
Swampscott,Lynnfield,0.0,60,white_pct_low,78.1,Swampscott-Lynnfield
Swampscott,Danvers,0.0,61,white_pct_low,78.1,Swampscott-Danvers
Ipswich,Georgetown,0.0,62,white_pct_low,86.3,Ipswich-Georgetown
Lynn,Danvers,0.0,63,white_pct_low,13.0,Lynn-Danvers
Amesbury,Newbury,0.0,64,white_pct_low,82.6,Amesbury-Newbury
Haverhill,Georgetown,0.0,65,white_pct_low,49.7,Haverhill-Georgetown
Ipswich,Middleton,0.0,66,white_pct_low,86.3,Ipswich-Middleton
North Andover,Merrimac,0.0,67,white_pct_low,72.5,North Andover-Merrimac
Beverly,Lynnfield,0.0,68,white_pct_low,75.0,Beverly-Lynnfield
Newburyport,Georgetown,0.0,69,white_pct_low,90.3,Newburyport-Georgetown
Saugus,Marblehead,0.0,70,white_pct_low,62.5,Saugus-Marblehead
Marblehead,Manchester,0.0,71,white_pct_low,85.2,Marblehead-Manchester
Lawrence,Georgetown,0.0,72,white_pct_low,3.2,Lawrence-Georgetown
Danvers,Manchester,0.0,73,white_pct_low,83.6,Danvers-Manchester
Danvers,Ipswich,0.0,74,white_pct_low,83.6,Danvers-Ipswich
Ipswich,Manchester,0.0,75,white_pct_low,86.3,Ipswich-Manchester
Peabody,Hamilton,0.0,76,white_pct_low,72.5,Peabody-Hamilton
Beverly,Ipswich,0.0,77,white_pct_low,75.0,Beverly-Ipswich
Hamilton,Newbury,0.0,78,white_pct_low,87.8,Hamilton-Newbury
Methuen,Groveland,0.0,79,white_pct_low,42.6,Methuen-Groveland
Topsfield,Rowley,0.0,80,white_pct_low,90.0,Topsfield-Rowley
Gloucester,Hamilton,0.0,81,white_pct_low,79.7,Gloucester-Hamilton
Ipswich,Newburyport,0.0,82,white_pct_low,86.3,Ipswich-Newburyport
Salem,Middleton,0.0,83,white_pct_low,42.4,Salem-Middleton
North Andover,Middleton,0.0,84,white_pct_low,72.5,North Andover-Middleton
Lynnfield,Marblehead,0.0,85,white_pct_low,82.2,Lynnfield-Marblehead
Amesbury,Georgetown,0.0,86,white_pct_low,82.6,Amesbury-Georgetown
Salem,Hamilton,0.0,87,white_pct_low,42.4,Salem-Hamilton
Salem,Manchester,0.0,88,white_pct_low,42.4,Salem-Manchester
Lawrence,Groveland,0.0,89,white_pct_low,3.2,Lawrence-Groveland
Haverhill,Andover,0.0,90,white_pct_low,49.7,Haverhill-Andover
Rockport,Manchester,0.0,91,white_pct_low,90.4,Rockport-Manchester
Andover,Boxford,0.0,92,white_pct_low,66.5,Andover-Boxford
Methuen,Georgetown,0.0,93,white_pct_low,42.6,Methuen-Georgetown
Haverhill,Amesbury,0.0,94,white_pct_low,49.7,Haverhill-Amesbury
Marblehead,Hamilton,0.0,95,white_pct_low,85.2,Marblehead-Hamilton
Saugus,Danvers,0.0,96,white_pct_low,62.5,Saugus-Danvers
Hamilton,Georgetown,0.0,97,white_pct_low,87.8,Hamilton-Georgetown
Lawrence,Middleton,0.0,98,white_pct_low,3.2,Lawrence-Middleton
Andover,Georgetown,0.0,99,white_pct_low,66.5,Andover-Georgetown
Haverhill,Salisbury,0.0,100,white_pct_low,49.7,Haverhill-Salisbury
Saugus,Beverly,0.0,101,white_pct_low,62.5,Saugus-Beverly
Danvers,Georgetown,0.0,102,white_pct_low,83.6,Danvers-Georgetown
Andover,Lynnfield,0.0,103,white_pct_low,66.5,Andover-Lynnfield
Gloucester,Ipswich,0.0,104,white_pct_low,79.7,Gloucester-Ipswich
Lynn,Boxford,0.0,105,white_pct_low,13.0,Lynn-Boxford
Swampscott,Topsfield,0.0,106,white_pct_low,78.1,Swampscott-Topsfield
Ipswich,Groveland,0.0,107,white_pct_low,86.3,Ipswich-Groveland
North Andover,Rowley,0.0,108,white_pct_low,72.5,North Andover-Rowley
Swampscott,Manchester,0.0,109,white_pct_low,78.1,Swampscott-Manchester
Marblehead,Topsfield,0.0,110,white_pct_low,85.2,Marblehead-Topsfield
Peabody,Manchester,0.0,111,white_pct_low,72.5,Peabody-Manchester
Beverly,Gloucester,0.0,112,white_pct_low,75.0,Beverly-Gloucester
Swampscott,Hamilton,0.0,113,white_pct_low,78.1,Swampscott-Hamilton
Boxford,Manchester,0.0,114,white_pct_low,90.0,Boxford-Manchester
Merrimac,Middleton,0.0,115,white_pct_low,89.9,Merrimac-Middleton
Danvers,Newbury,0.0,116,white_pct_low,83.6,Danvers-Newbury
Lynnfield,Hamilton,0.0,117,white_pct_low,82.2,Lynnfield-Hamilton
Andover,Groveland,0.0,118,white_pct_low,66.5,Andover-Groveland
Haverhill,Newburyport,0.0,119,white_pct_low,49.7,Haverhill-Newburyport
Saugus,Boxford,0.0,120,white_pct_low,62.5,Saugus-Boxford
Lynn,Hamilton,0.0,121,white_pct_low,13.0,Lynn-Hamilton
Lynn,Manchester,0.0,122,white_pct_low,13.0,Lynn-Manchester
Peabody,Ipswich,0.0,123,white_pct_low,72.5,Peabody-Ipswich
North Andover,Lynnfield,0.0,124,white_pct_low,72.5,North Andover-Lynnfield
Lawrence,Lynnfield,0.0,125,white_pct_low,3.2,Lawrence-Lynnfield
Andover,Peabody,0.0,126,white_pct_low,66.5,Andover-Peabody
Amesbury,Ipswich,0.0,127,white_pct_low,82.6,Amesbury-Ipswich
Lawrence,Rowley,0.0,128,white_pct_low,3.2,Lawrence-Rowley
Hamilton,Rockport,0.0,129,white_pct_low,87.8,Hamilton-Rockport
Beverly,Georgetown,0.0,130,white_pct_low,75.0,Beverly-Georgetown
Peabody,Georgetown,0.0,131,white_pct_low,72.5,Peabody-Georgetown
Methuen,Topsfield,0.0,132,white_pct_low,42.6,Methuen-Topsfield
North Andover,Danvers,0.0,133,white_pct_low,72.5,North Andover-Danvers
Andover,Danvers,0.0,134,white_pct_low,66.5,Andover-Danvers
Ipswich,Rockport,0.0,135,white_pct_low,86.3,Ipswich-Rockport
Beverly,Newbury,0.0,136,white_pct_low,75.0,Beverly-Newbury
Hamilton,Newburyport,0.0,137,white_pct_low,87.8,Hamilton-Newburyport
Gloucester,Marblehead,0.0,138,white_pct_low,79.7,Gloucester-Marblehead
Salem,Ipswich,0.0,139,white_pct_low,42.4,Salem-Ipswich
Methuen,Newbury,0.0,140,white_pct_low,42.6,Methuen-Newbury
Peabody,North Andover,0.0,141,white_pct_low,72.5,Peabody-North Andover
Lynnfield,Georgetown,0.0,142,white_pct_low,82.2,Lynnfield-Georgetown
Haverhill,Middleton,0.0,143,white_pct_low,49.7,Haverhill-Middleton
Gloucester,Danvers,0.0,144,white_pct_low,79.7,Gloucester-Danvers
Lawrence,Danvers,0.0,145,white_pct_low,3.2,Lawrence-Danvers
Lawrence,Peabody,0.0,146,white_pct_low,3.2,Lawrence-Peabody
North Andover,Ipswich,0.0,147,white_pct_low,72.5,North Andover-Ipswich
Andover,Rowley,0.0,148,white_pct_low,66.5,Andover-Rowley
Newbury,Manchester,0.0,149,white_pct_low,90.1,Newbury-Manchester
Hamilton,Groveland,0.0,150,white_pct_low,87.8,Hamilton-Groveland
Marblehead,Ipswich,0.0,151,white_pct_low,85.2,Marblehead-Ipswich
North Andover,Amesbury,0.0,152,white_pct_low,72.5,North Andover-Amesbury
Boxford,Newburyport,0.0,153,white_pct_low,90.0,Boxford-Newburyport
Lynnfield,Ipswich,0.0,154,white_pct_low,82.2,Lynnfield-Ipswich
Lynnfield,Manchester,0.0,155,white_pct_low,82.2,Lynnfield-Manchester
North Andover,Newburyport,0.0,156,white_pct_low,72.5,North Andover-Newburyport
Salem,Gloucester,0.0,157,white_pct_low,42.4,Salem-Gloucester
Peabody,Newbury,0.0,158,white_pct_low,72.5,Peabody-Newbury
Methuen,Amesbury,0.0,159,white_pct_low,42.6,Methuen-Amesbury
Danvers,Merrimac,0.0,160,white_pct_low,83.6,Danvers-Merrimac
North Andover,Hamilton,0.0,161,white_pct_low,72.5,North Andover-Hamilton
Saugus,Hamilton,0.0,162,white_pct_low,62.5,Saugus-Hamilton
Haverhill,Ipswich,0.0,163,white_pct_low,49.7,Haverhill-Ipswich
Georgetown,Manchester,0.0,164,white_pct_low,93.7,Georgetown-Manchester
Swampscott,Ipswich,0.0,165,white_pct_low,78.1,Swampscott-Ipswich
Lawrence,Ipswich,0.0,166,white_pct_low,3.2,Lawrence-Ipswich
Beverly,Rockport,0.0,167,white_pct_low,75.0,Beverly-Rockport
Lawrence,Amesbury,0.0,168,white_pct_low,3.2,Lawrence-Amesbury
Methuen,Lynnfield,0.0,169,white_pct_low,42.6,Methuen-Lynnfield
Saugus,Andover,0.0,170,white_pct_low,62.5,Saugus-Andover
Gloucester,Salisbury,0.0,171,white_pct_low,79.7,Gloucester-Salisbury
North Andover,Beverly,0.0,172,white_pct_low,72.5,North Andover-Beverly
Gloucester,Boxford,0.0,173,white_pct_low,79.7,Gloucester-Boxford
Andover,Beverly,0.0,174,white_pct_low,66.5,Andover-Beverly
Lynnfield,Rowley,0.0,175,white_pct_low,82.2,Lynnfield-Rowley
Lynn,Ipswich,0.0,176,white_pct_low,13.0,Lynn-Ipswich
Methuen,Newburyport,0.0,177,white_pct_low,42.6,Methuen-Newburyport
Saugus,Manchester,0.0,178,white_pct_low,62.5,Saugus-Manchester
Swampscott,Gloucester,0.0,179,white_pct_low,78.1,Swampscott-Gloucester
Salem,Georgetown,0.0,180,white_pct_low,42.4,Salem-Georgetown
Lawrence,Newburyport,0.0,181,white_pct_low,3.2,Lawrence-Newburyport
Andover,Ipswich,0.0,182,white_pct_low,66.5,Andover-Ipswich
Lawrence,Hamilton,0.0,183,white_pct_low,3.2,Lawrence-Hamilton
Amesbury,Middleton,0.0,184,white_pct_low,82.6,Amesbury-Middleton
Andover,Hamilton,0.0,185,white_pct_low,66.5,Andover-Hamilton
Peabody,Gloucester,0.0,186,white_pct_low,72.5,Peabody-Gloucester
Lawrence,Beverly,0.0,187,white_pct_low,3.2,Lawrence-Beverly
Methuen,Danvers,0.0,188,white_pct_low,42.6,Methuen-Danvers
Amesbury,Hamilton,0.0,189,white_pct_low,82.6,Amesbury-Hamilton
Danvers,Newburyport,0.0,190,white_pct_low,83.6,Danvers-Newburyport
Salem,Andover,0.0,191,white_pct_low,42.4,Salem-Andover
Salem,Newbury,0.0,192,white_pct_low,42.4,Salem-Newbury
Methuen,Peabody,0.0,193,white_pct_low,42.6,Methuen-Peabody
Lynn,Andover,0.0,194,white_pct_low,13.0,Lynn-Andover
Beverly,Groveland,0.0,195,white_pct_low,75.0,Beverly-Groveland
Methuen,Ipswich,0.0,196,white_pct_low,42.6,Methuen-Ipswich
Lynn,Gloucester,0.0,197,white_pct_low,13.0,Lynn-Gloucester
Peabody,Groveland,0.0,198,white_pct_low,72.5,Peabody-Groveland
Haverhill,Danvers,0.0,199,white_pct_low,49.7,Haverhill-Danvers
Newbury,Rockport,0.0,200,white_pct_low,90.1,Newbury-Rockport
Lynnfield,Groveland,0.0,201,white_pct_low,82.2,Lynnfield-Groveland
Salem,North Andover,0.0,202,white_pct_low,42.4,Salem-North Andover
Danvers,Rockport,0.0,203,white_pct_low,83.6,Danvers-Rockport
Marblehead,Georgetown,0.0,204,white_pct_low,85.2,Marblehead-Georgetown
Newburyport,Manchester,0.0,205,white_pct_low,90.3,Newburyport-Manchester
Lawrence,Saugus,0.0,206,white_pct_low,3.2,Lawrence-Saugus
Haverhill,Hamilton,0.0,207,white_pct_low,49.7,Haverhill-Hamilton
Andover,Swampscott,0.0,208,white_pct_low,66.5,Andover-Swampscott
Beverly,Newburyport,0.0,209,white_pct_low,75.0,Beverly-Newburyport
Andover,Amesbury,0.0,210,white_pct_low,66.5,Andover-Amesbury
Marblehead,Rockport,0.0,211,white_pct_low,85.2,Marblehead-Rockport
Lynn,Georgetown,0.0,212,white_pct_low,13.0,Lynn-Georgetown
Saugus,North Andover,0.0,213,white_pct_low,62.5,Saugus-North Andover
Swampscott,Georgetown,0.0,214,white_pct_low,78.1,Swampscott-Georgetown
Andover,Newburyport,0.0,215,white_pct_low,66.5,Andover-Newburyport
Gloucester,Newburyport,0.0,216,white_pct_low,79.7,Gloucester-Newburyport
Lawrence,Salem,0.0,217,white_pct_low,3.2,Lawrence-Salem
Gloucester,Georgetown,0.0,218,white_pct_low,79.7,Gloucester-Georgetown
Haverhill,Lynnfield,0.0,219,white_pct_low,49.7,Haverhill-Lynnfield
Marblehead,Salisbury,0.0,220,white_pct_low,85.2,Marblehead-Salisbury
Lynn,North Andover,0.0,221,white_pct_low,13.0,Lynn-North Andover
Newburyport,Rockport,0.0,222,white_pct_low,90.3,Newburyport-Rockport
Methuen,Hamilton,0.0,223,white_pct_low,42.6,Methuen-Hamilton
Saugus,Ipswich,0.0,224,white_pct_low,62.5,Saugus-Ipswich
Lawrence,Lynn,0.0,225,white_pct_low,3.2,Lawrence-Lynn
Haverhill,Peabody,0.0,226,white_pct_low,49.7,Haverhill-Peabody
North Andover,Swampscott,0.0,227,white_pct_low,72.5,North Andover-Swampscott
Saugus,Georgetown,0.0,228,white_pct_low,62.5,Saugus-Georgetown
Swampscott,Newbury,0.0,229,white_pct_low,78.1,Swampscott-Newbury
Salem,Rockport,0.0,230,white_pct_low,42.4,Salem-Rockport
Andover,Marblehead,0.0,231,white_pct_low,66.5,Andover-Marblehead
Lynn,Newbury,0.0,232,white_pct_low,13.0,Lynn-Newbury
Lawrence,Swampscott,0.0,233,white_pct_low,3.2,Lawrence-Swampscott
Amesbury,Danvers,0.0,234,white_pct_low,82.6,Amesbury-Danvers
Groveland,Manchester,0.0,235,white_pct_low,89.9,Groveland-Manchester
Boxford,Rockport,0.0,236,white_pct_low,90.0,Boxford-Rockport
Methuen,Beverly,0.0,237,white_pct_low,42.6,Methuen-Beverly
Gloucester,Lynnfield,0.0,238,white_pct_low,79.7,Gloucester-Lynnfield
Peabody,Newburyport,0.0,239,white_pct_low,72.5,Peabody-Newburyport
North Andover,Marblehead,0.0,240,white_pct_low,72.5,North Andover-Marblehead
Haverhill,Beverly,0.0,241,white_pct_low,49.7,Haverhill-Beverly
North Andover,Manchester,0.0,242,white_pct_low,72.5,North Andover-Manchester
Lawrence,Marblehead,0.0,243,white_pct_low,3.2,Lawrence-Marblehead
Rockport,Georgetown,0.0,244,white_pct_low,90.4,Rockport-Georgetown
Salem,Merrimac,0.0,245,white_pct_low,42.4,Salem-Merrimac
Swampscott,Rockport,0.0,246,white_pct_low,78.1,Swampscott-Rockport
Peabody,Rockport,0.0,247,white_pct_low,72.5,Peabody-Rockport
Beverly,Amesbury,0.0,248,white_pct_low,75.0,Beverly-Amesbury
Methuen,Saugus,0.0,249,white_pct_low,42.6,Methuen-Saugus
Saugus,Salisbury,0.0,250,white_pct_low,62.5,Saugus-Salisbury
Lynnfield,Newburyport,0.0,251,white_pct_low,82.2,Lynnfield-Newburyport
Andover,Manchester,0.0,252,white_pct_low,66.5,Andover-Manchester
Salem,Methuen,0.0,253,white_pct_low,42.4,Salem-Methuen
Saugus,Gloucester,0.0,254,white_pct_low,62.5,Saugus-Gloucester
Amesbury,Manchester,0.0,255,white_pct_low,82.6,Amesbury-Manchester
Lawrence,Manchester,0.0,256,white_pct_low,3.2,Lawrence-Manchester
Gloucester,Merrimac,0.0,257,white_pct_low,79.7,Gloucester-Merrimac
Lynn,Rockport,0.0,258,white_pct_low,13.0,Lynn-Rockport
Lynn,Methuen,0.0,259,white_pct_low,13.0,Lynn-Methuen
Peabody,Amesbury,0.0,260,white_pct_low,72.5,Peabody-Amesbury
Salem,Newburyport,0.0,261,white_pct_low,42.4,Salem-Newburyport
Gloucester,Amesbury,0.0,262,white_pct_low,79.7,Gloucester-Amesbury
Marblehead,Groveland,0.0,263,white_pct_low,85.2,Marblehead-Groveland
Lynn,Merrimac,0.0,264,white_pct_low,13.0,Lynn-Merrimac
Swampscott,Groveland,0.0,265,white_pct_low,78.1,Swampscott-Groveland
Methuen,Swampscott,0.0,266,white_pct_low,42.6,Methuen-Swampscott
Amesbury,Rockport,0.0,267,white_pct_low,82.6,Amesbury-Rockport
Salem,Haverhill,0.0,268,white_pct_low,42.4,Salem-Haverhill
Lynnfield,Amesbury,0.0,269,white_pct_low,82.2,Lynnfield-Amesbury
Marblehead,Newburyport,0.0,270,white_pct_low,85.2,Marblehead-Newburyport
Saugus,Groveland,0.0,271,white_pct_low,62.5,Saugus-Groveland
Haverhill,Manchester,0.0,272,white_pct_low,49.7,Haverhill-Manchester
Groveland,Rockport,0.0,273,white_pct_low,89.9,Groveland-Rockport
Methuen,Marblehead,0.0,274,white_pct_low,42.6,Methuen-Marblehead
Lynnfield,Rockport,0.0,275,white_pct_low,82.2,Lynnfield-Rockport
Haverhill,Saugus,0.0,276,white_pct_low,49.7,Haverhill-Saugus
Lynn,Haverhill,0.0,277,white_pct_low,13.0,Lynn-Haverhill
Methuen,Manchester,0.0,278,white_pct_low,42.6,Methuen-Manchester
Swampscott,Newburyport,0.0,279,white_pct_low,78.1,Swampscott-Newburyport
North Andover,Gloucester,0.0,280,white_pct_low,72.5,North Andover-Gloucester
Haverhill,Swampscott,0.0,281,white_pct_low,49.7,Haverhill-Swampscott
Lynn,Newburyport,0.0,282,white_pct_low,13.0,Lynn-Newburyport
Haverhill,Marblehead,0.0,283,white_pct_low,49.7,Haverhill-Marblehead
Salem,Amesbury,0.0,284,white_pct_low,42.4,Salem-Amesbury
Lawrence,Gloucester,0.0,285,white_pct_low,3.2,Lawrence-Gloucester
Andover,Gloucester,0.0,286,white_pct_low,66.5,Andover-Gloucester
Saugus,Rockport,0.0,287,white_pct_low,62.5,Saugus-Rockport
Haverhill,Gloucester,0.0,288,white_pct_low,49.7,Haverhill-Gloucester
Amesbury,Marblehead,0.0,289,white_pct_low,82.6,Amesbury-Marblehead
Saugus,Newburyport,0.0,290,white_pct_low,62.5,Saugus-Newburyport
Swampscott,Amesbury,0.0,291,white_pct_low,78.1,Swampscott-Amesbury
Lynn,Amesbury,0.0,292,white_pct_low,13.0,Lynn-Amesbury
North Andover,Rockport,0.0,293,white_pct_low,72.5,North Andover-Rockport
Methuen,Gloucester,0.0,294,white_pct_low,42.6,Methuen-Gloucester
Haverhill,Rockport,0.0,295,white_pct_low,49.7,Haverhill-Rockport
Saugus,Amesbury,0.0,296,white_pct_low,62.5,Saugus-Amesbury
Lawrence,Rockport,0.0,297,white_pct_low,3.2,Lawrence-Rockport
Andover,Rockport,0.0,298,white_pct_low,66.5,Andover-Rockport
Methuen,Rockport,0.0,299,white_pct_low,42.6,Methuen-Rockport
Lynn,Swampscott,1.196055302079143,0,white_pct_high,78.1,Lynn-Swampscott
Lawrence,North Andover,1.5855866438822594,1,white_pct_high,72.5,Lawrence-North Andover
Salem,Swampscott,1.9363245470077504,2,white_pct_high,78.1,Salem-Swampscott
Salem,Marblehead,2.361965084725948,3,white_pct_high,85.2,Salem-Marblehead
Lawrence,Andover,2.4075788470636974,4,white_pct_high,66.5,Lawrence-Andover
Lynn,Salem,2.620759071282193,5,white_pct_high,42.4,Lynn-Salem
Swampscott,Marblehead,2.7700866048205146,6,white_pct_high,85.2,Swampscott-Marblehead
Beverly,Danvers,2.820942616776508,7,white_pct_high,83.6,Beverly-Danvers
Peabody,Lynnfield,3.0211280959779665,8,white_pct_high,82.2,Peabody-Lynnfield
Lawrence,Methuen,3.190858545165007,9,white_pct_high,42.6,Lawrence-Methuen
Peabody,Danvers,3.3831848090871595,10,white_pct_high,83.6,Peabody-Danvers
Methuen,North Andover,3.582984079375072,11,white_pct_high,72.5,Methuen-North Andover
Andover,North Andover,3.5890416313744566,12,white_pct_high,72.5,Andover-North Andover
Danvers,Topsfield,3.717251074636475,13,white_pct_high,90.0,Danvers-Topsfield
Salisbury,Georgetown,3.814898481551445,14,white_pct_high,93.7,Salisbury-Georgetown
Amesbury,Newburyport,3.8692811155221,15,white_pct_high,90.3,Amesbury-Newburyport
Lynn,Marblehead,3.9489579065240856,16,white_pct_high,85.2,Lynn-Marblehead
Ipswich,Hamilton,4.140077970284551,17,white_pct_high,87.8,Ipswich-Hamilton
Salem,Peabody,4.141631838811724,18,white_pct_high,72.5,Salem-Peabody
Lynn,Saugus,4.160763648971105,19,white_pct_high,62.5,Lynn-Saugus
Merrimac,Georgetown,4.28828278923016,20,white_pct_high,93.7,Merrimac-Georgetown
Gloucester,Rockport,4.3171524484408135,21,white_pct_high,90.4,Gloucester-Rockport
Salem,Beverly,4.327777882741018,22,white_pct_high,75.0,Salem-Beverly
Beverly,Hamilton,4.72845942483406,23,white_pct_high,87.8,Beverly-Hamilton
Haverhill,Groveland,4.762942120764938,24,white_pct_high,89.9,Haverhill-Groveland
Peabody,Beverly,4.935838087070542,25,white_pct_high,75.0,Peabody-Beverly
Lynn,Peabody,4.94029677394803,26,white_pct_high,72.5,Lynn-Peabody
Methuen,Haverhill,4.97318960159047,27,white_pct_high,49.7,Methuen-Haverhill
Newbury,Newburyport,5.008180269711917,28,white_pct_high,90.3,Newbury-Newburyport
Beverly,Marblehead,5.037819794778186,29,white_pct_high,85.2,Beverly-Marblehead
