school_to_school,distance_mi,town_x,town_y,1979_x,1989_x,1999_x,2009_x,2019_x,1979_y,1989_y,1999_y,2009_y,2019_y,town_ num_x,town_ num_y
Lynn-Swampscott,1.196055302079143,Lynn,Swampscott,46904.0,54573.0,53153.0,46944.0,56181,78559.0,95930.0,101129.0,98628.0,113407,163.0,291.0
Lawrence-North Andover,1.5855866438822594,Lawrence,North Andover,39108.0,42398.0,39808.0,34372.0,44613,72562.0,98798.0,103461.0,99691.0,108070,149.0,210.0
Salem-Swampscott,1.9363245470077504,Salem,Swampscott,49457.0,62394.0,62640.0,61917.0,68808,78559.0,95930.0,101129.0,98628.0,113407,258.0,291.0
Salem-Marblehead,2.361965084725948,Salem,Marblehead,49457.0,62394.0,62640.0,61917.0,68808,78288.0,101935.0,105225.0,105511.0,123333,258.0,168.0
Lawrence-Andover,2.4075788470636974,Lawrence,Andover,39108.0,42398.0,39808.0,34372.0,44613,88976.0,116723.0,124735.0,120621.0,95600,149.0,9.0
Lynn-Salem,2.620759071282193,Lynn,Salem,46904.0,54573.0,53153.0,46944.0,56181,49457.0,62394.0,62640.0,61917.0,68808,163.0,258.0
Swampscott-Marblehead,2.7700866048205146,Swampscott,Marblehead,78559.0,95930.0,101129.0,98628.0,113407,78288.0,101935.0,105225.0,105511.0,123333,291.0,168.0
Beverly-Danvers,2.820942616776508,Beverly,Danvers,61261.0,75693.0,76796.0,72449.0,80586,71502.0,83636.0,83617.0,81836.0,89250,30.0,71.0
Peabody-Lynnfield,3.0211280959779665,Peabody,Lynnfield,67532.0,76069.0,77998.0,71192.0,73217,101554.0,111927.0,114696.0,95180.0,128641,229.0,164.0
Lawrence-Methuen,3.190858545165007,Lawrence,Methuen,39108.0,42398.0,39808.0,34372.0,44613,61849.0,72058.0,70598.0,67179.0,77484,149.0,181.0
Peabody-Danvers,3.3831848090871595,Peabody,Danvers,67532.0,76069.0,77998.0,71192.0,73217,71502.0,83636.0,83617.0,81836.0,89250,229.0,71.0
Methuen-North Andover,3.582984079375072,Methuen,North Andover,61849.0,72058.0,70598.0,67179.0,77484,72562.0,98798.0,103461.0,99691.0,108070,181.0,210.0
Andover-North Andover,3.5890416313744566,Andover,North Andover,88976.0,116723.0,124735.0,120621.0,95600,72562.0,98798.0,103461.0,99691.0,108070,9.0,210.0
Danvers-Topsfield,3.717251074636475,Danvers,Topsfield,71502.0,83636.0,83617.0,81836.0,89250,97976.0,124224.0,137178.0,124982.0,136863,71.0,298.0
Salisbury-Georgetown,3.814898481551445,Salisbury,Georgetown,53766.0,68193.0,70147.0,68369.0,81304,69406.0,85742.0,108485.0,110703.0,128466,259.0,105.0
Amesbury-Newburyport,3.8692811155221,Amesbury,Newburyport,52538.0,72417.0,73840.0,81465.0,82468,55904.0,73810.0,83301.0,82912.0,109839,7.0,206.0
Lynn-Marblehead,3.9489579065240856,Lynn,Marblehead,46904.0,54573.0,53153.0,46944.0,56181,78288.0,101935.0,105225.0,105511.0,123333,163.0,168.0
Ipswich-Hamilton,4.140077970284551,Ipswich,Hamilton,67379.0,81012.0,81490.0,87819.0,93212,85278.0,93972.0,102425.0,108375.0,127813,144.0,119.0
Salem-Peabody,4.141631838811724,Salem,Peabody,49457.0,62394.0,62640.0,61917.0,68808,67532.0,76069.0,77998.0,71192.0,73217,258.0,229.0
Lynn-Saugus,4.160763648971105,Lynn,Saugus,46904.0,54573.0,53153.0,46944.0,56181,69615.0,80119.0,78669.0,77178.0,88667,163.0,262.0
Merrimac-Georgetown,4.28828278923016,Merrimac,Georgetown,59498.0,78814.0,83493.0,82061.0,84609,69406.0,85742.0,108485.0,110703.0,128466,180.0,105.0
Gloucester-Rockport,4.3171524484408135,Gloucester,Rockport,51063.0,62480.0,67888.0,65749.0,72574,53818.0,67268.0,72069.0,76745.0,85208,107.0,252.0
Salem-Beverly,4.327777882741018,Salem,Beverly,49457.0,62394.0,62640.0,61917.0,68808,61261.0,75693.0,76796.0,72449.0,80586,258.0,30.0
Beverly-Hamilton,4.72845942483406,Beverly,Hamilton,61261.0,75693.0,76796.0,72449.0,80586,85278.0,93972.0,102425.0,108375.0,127813,30.0,119.0
Haverhill-Groveland,4.762942120764938,Haverhill,Groveland,49111.0,70613.0,70891.0,67325.0,69426,73695.0,92413.0,98395.0,91531.0,103125,128.0,116.0
Peabody-Beverly,4.935838087070542,Peabody,Beverly,67532.0,76069.0,77998.0,71192.0,73217,61261.0,75693.0,76796.0,72449.0,80586,229.0,30.0
Lynn-Peabody,4.94029677394803,Lynn,Peabody,46904.0,54573.0,53153.0,46944.0,56181,67532.0,76069.0,77998.0,71192.0,73217,163.0,229.0
Haverhill-Methuen,4.97318960159047,Haverhill,Methuen,49111.0,70613.0,70891.0,67325.0,69426,61849.0,72058.0,70598.0,67179.0,77484,128.0,181.0
Newbury-Newburyport,5.008180269711917,Newbury,Newburyport,68671.0,84227.0,106459.0,98942.0,101875,55904.0,73810.0,83301.0,82912.0,109839,205.0,206.0
Beverly-Marblehead,5.037819794778186,Beverly,Marblehead,61261.0,75693.0,76796.0,72449.0,80586,78288.0,101935.0,105225.0,105511.0,123333,30.0,168.0
Gloucester-Manchester,5.06495176646527,Gloucester,,51063.0,62480.0,67888.0,65749.0,72574,,,,,148854,107.0,
Ipswich-Newbury,5.0819856969992605,Ipswich,Newbury,67379.0,81012.0,81490.0,87819.0,93212,68671.0,84227.0,106459.0,98942.0,101875,144.0,205.0
Hamilton-Manchester,5.254430247077268,Hamilton,,85278.0,93972.0,102425.0,108375.0,127813,,,,,148854,119.0,
Peabody-Swampscott,5.289150594497587,Peabody,Swampscott,67532.0,76069.0,77998.0,71192.0,73217,78559.0,95930.0,101129.0,98628.0,113407,229.0,291.0
Methuen-Andover,5.306090018823177,Methuen,Andover,61849.0,72058.0,70598.0,67179.0,77484,88976.0,116723.0,124735.0,120621.0,95600,181.0,9.0
Salem-Danvers,5.330710306255406,Salem,Danvers,49457.0,62394.0,62640.0,61917.0,68808,71502.0,83636.0,83617.0,81836.0,89250,258.0,71.0
Danvers-Hamilton,5.335146344153019,Danvers,Hamilton,71502.0,83636.0,83617.0,81836.0,89250,85278.0,93972.0,102425.0,108375.0,127813,71.0,119.0
Saugus-Swampscott,5.349151489056062,Saugus,Swampscott,69615.0,80119.0,78669.0,77178.0,88667,78559.0,95930.0,101129.0,98628.0,113407,262.0,291.0
Saugus-Lynnfield,5.433577113105851,Saugus,Lynnfield,69615.0,80119.0,78669.0,77178.0,88667,101554.0,111927.0,114696.0,95180.0,128641,262.0,164.0
Peabody-Middleton,5.5454252943224684,Peabody,Middleton,67532.0,76069.0,77998.0,71192.0,73217,69693.0,88103.0,115790.0,95330.0,125204,229.0,184.0
Newbury-Groveland,5.590551585369322,Newbury,Groveland,68671.0,84227.0,106459.0,98942.0,101875,73695.0,92413.0,98395.0,91531.0,103125,205.0,116.0
Amesbury-Groveland,5.917174839382962,Amesbury,Groveland,52538.0,72417.0,73840.0,81465.0,82468,73695.0,92413.0,98395.0,91531.0,103125,7.0,116.0
Danvers-Lynnfield,5.964400140329401,Danvers,Lynnfield,71502.0,83636.0,83617.0,81836.0,89250,101554.0,111927.0,114696.0,95180.0,128641,71.0,164.0
Beverly-Manchester,5.971410704235797,Beverly,,61261.0,75693.0,76796.0,72449.0,80586,,,,,148854,30.0,
Haverhill-North Andover,6.005102278445393,Haverhill,North Andover,49111.0,70613.0,70891.0,67325.0,69426,72562.0,98798.0,103461.0,99691.0,108070,128.0,210.0
Beverly-Swampscott,6.252890130243487,Beverly,Swampscott,61261.0,75693.0,76796.0,72449.0,80586,78559.0,95930.0,101129.0,98628.0,113407,30.0,291.0
Lynn-Lynnfield,6.268752525050366,Lynn,Lynnfield,46904.0,54573.0,53153.0,46944.0,56181,101554.0,111927.0,114696.0,95180.0,128641,163.0,164.0
Peabody-Saugus,6.286835159897371,Peabody,Saugus,67532.0,76069.0,77998.0,71192.0,73217,69615.0,80119.0,78669.0,77178.0,88667,229.0,262.0
Beverly-Middleton,6.352256480398708,Beverly,Middleton,61261.0,75693.0,76796.0,72449.0,80586,69693.0,88103.0,115790.0,95330.0,125204,30.0,184.0
Peabody-Marblehead,6.446932447408488,Peabody,Marblehead,67532.0,76069.0,77998.0,71192.0,73217,78288.0,101935.0,105225.0,105511.0,123333,229.0,168.0
Salem-Saugus,6.465266029224285,Salem,Saugus,49457.0,62394.0,62640.0,61917.0,68808,69615.0,80119.0,78669.0,77178.0,88667,258.0,262.0
Middleton-Hamilton,6.512709111452249,Middleton,Hamilton,69693.0,88103.0,115790.0,95330.0,125204,85278.0,93972.0,102425.0,108375.0,127813,184.0,119.0
Salem-Lynnfield,6.587860172732203,Salem,Lynnfield,49457.0,62394.0,62640.0,61917.0,68808,101554.0,111927.0,114696.0,95180.0,128641,258.0,164.0
Lynnfield-Boxford,6.601916701304433,Lynnfield,Boxford,101554.0,111927.0,114696.0,95180.0,128641,114726.0,150155.0,161052.0,155441.0,184007,164.0,38.0
Merrimac-Newburyport,6.769292675011802,Merrimac,Newburyport,59498.0,78814.0,83493.0,82061.0,84609,55904.0,73810.0,83301.0,82912.0,109839,180.0,206.0
North Andover-Georgetown,6.802750263821978,North Andover,Georgetown,72562.0,98798.0,103461.0,99691.0,108070,69406.0,85742.0,108485.0,110703.0,128466,210.0,105.0
Lynn-Beverly,6.870577048901468,Lynn,Beverly,46904.0,54573.0,53153.0,46944.0,56181,61261.0,75693.0,76796.0,72449.0,80586,163.0,30.0
Georgetown-Boxford,6.878720081064147,Georgetown,Boxford,69406.0,85742.0,108485.0,110703.0,128466,114726.0,150155.0,161052.0,155441.0,184007,105.0,38.0
Lawrence-Haverhill,6.909402253317068,Lawrence,Haverhill,39108.0,42398.0,39808.0,34372.0,44613,49111.0,70613.0,70891.0,67325.0,69426,149.0,128.0
Danvers-Marblehead,6.956299833777334,Danvers,Marblehead,71502.0,83636.0,83617.0,81836.0,89250,78288.0,101935.0,105225.0,105511.0,123333,71.0,168.0
Swampscott-Lynnfield,7.077581548126293,Swampscott,Lynnfield,78559.0,95930.0,101129.0,98628.0,113407,101554.0,111927.0,114696.0,95180.0,128641,291.0,164.0
Danvers-Swampscott,7.138617286692019,Danvers,Swampscott,71502.0,83636.0,83617.0,81836.0,89250,78559.0,95930.0,101129.0,98628.0,113407,71.0,291.0
Ipswich-Georgetown,7.303851120504134,Ipswich,Georgetown,67379.0,81012.0,81490.0,87819.0,93212,69406.0,85742.0,108485.0,110703.0,128466,144.0,105.0
Lynn-Danvers,7.307373189110715,Lynn,Danvers,46904.0,54573.0,53153.0,46944.0,56181,71502.0,83636.0,83617.0,81836.0,89250,163.0,71.0
Amesbury-Newbury,7.5010648416583505,Amesbury,Newbury,52538.0,72417.0,73840.0,81465.0,82468,68671.0,84227.0,106459.0,98942.0,101875,7.0,205.0
Haverhill-Georgetown,7.509617320152967,Haverhill,Georgetown,49111.0,70613.0,70891.0,67325.0,69426,69406.0,85742.0,108485.0,110703.0,128466,128.0,105.0
Ipswich-Middleton,7.724247814786984,Ipswich,Middleton,67379.0,81012.0,81490.0,87819.0,93212,69693.0,88103.0,115790.0,95330.0,125204,144.0,184.0
Merrimac-North Andover,7.740175664835019,Merrimac,North Andover,59498.0,78814.0,83493.0,82061.0,84609,72562.0,98798.0,103461.0,99691.0,108070,180.0,210.0
Beverly-Lynnfield,7.932323713286167,Beverly,Lynnfield,61261.0,75693.0,76796.0,72449.0,80586,101554.0,111927.0,114696.0,95180.0,128641,30.0,164.0
Newburyport-Georgetown,7.985919998287651,Newburyport,Georgetown,55904.0,73810.0,83301.0,82912.0,109839,69406.0,85742.0,108485.0,110703.0,128466,206.0,105.0
Saugus-Marblehead,8.109540994969315,Saugus,Marblehead,69615.0,80119.0,78669.0,77178.0,88667,78288.0,101935.0,105225.0,105511.0,123333,262.0,168.0
Marblehead-Manchester,8.114360343705243,Marblehead,,78288.0,101935.0,105225.0,105511.0,123333,,,,,148854,168.0,
Lawrence-Georgetown,8.367780755084983,Lawrence,Georgetown,39108.0,42398.0,39808.0,34372.0,44613,69406.0,85742.0,108485.0,110703.0,128466,149.0,105.0
Danvers-Manchester,8.406932757250539,Danvers,,71502.0,83636.0,83617.0,81836.0,89250,,,,,148854,71.0,
Danvers-Ipswich,8.419675912179603,Danvers,Ipswich,71502.0,83636.0,83617.0,81836.0,89250,67379.0,81012.0,81490.0,87819.0,93212,71.0,144.0
Ipswich-Manchester,8.526754212020727,Ipswich,,67379.0,81012.0,81490.0,87819.0,93212,,,,,148854,144.0,
Peabody-Hamilton,8.6667657317385,Peabody,Hamilton,67532.0,76069.0,77998.0,71192.0,73217,85278.0,93972.0,102425.0,108375.0,127813,229.0,119.0
Beverly-Ipswich,8.687484950177778,Beverly,Ipswich,61261.0,75693.0,76796.0,72449.0,80586,67379.0,81012.0,81490.0,87819.0,93212,30.0,144.0
Newbury-Hamilton,8.708197936264018,Newbury,Hamilton,68671.0,84227.0,106459.0,98942.0,101875,85278.0,93972.0,102425.0,108375.0,127813,205.0,119.0
Methuen-Groveland,8.742235481874381,Methuen,Groveland,61849.0,72058.0,70598.0,67179.0,77484,73695.0,92413.0,98395.0,91531.0,103125,181.0,116.0
Rowley-Topsfield,8.781965738283064,Rowley,Topsfield,64467.0,91679.0,88384.0,81403.0,115909,97976.0,124224.0,137178.0,124982.0,136863,254.0,298.0
Gloucester-Hamilton,8.789220302849722,Gloucester,Hamilton,51063.0,62480.0,67888.0,65749.0,72574,85278.0,93972.0,102425.0,108375.0,127813,107.0,119.0
Ipswich-Newburyport,8.794455982710373,Ipswich,Newburyport,67379.0,81012.0,81490.0,87819.0,93212,55904.0,73810.0,83301.0,82912.0,109839,144.0,206.0
Salem-Middleton,8.816292246351624,Salem,Middleton,49457.0,62394.0,62640.0,61917.0,68808,69693.0,88103.0,115790.0,95330.0,125204,258.0,184.0
North Andover-Middleton,8.861898890882394,North Andover,Middleton,72562.0,98798.0,103461.0,99691.0,108070,69693.0,88103.0,115790.0,95330.0,125204,210.0,184.0
Marblehead-Lynnfield,8.946003625179499,Marblehead,Lynnfield,78288.0,101935.0,105225.0,105511.0,123333,101554.0,111927.0,114696.0,95180.0,128641,168.0,164.0
Amesbury-Georgetown,9.053987393332404,Amesbury,Georgetown,52538.0,72417.0,73840.0,81465.0,82468,69406.0,85742.0,108485.0,110703.0,128466,7.0,105.0
Salem-Hamilton,9.056235129047684,Salem,Hamilton,49457.0,62394.0,62640.0,61917.0,68808,85278.0,93972.0,102425.0,108375.0,127813,258.0,119.0
Salem-Manchester,9.064067512897635,Salem,,49457.0,62394.0,62640.0,61917.0,68808,,,,,148854,258.0,
Lawrence-Groveland,9.218136735579188,Lawrence,Groveland,39108.0,42398.0,39808.0,34372.0,44613,73695.0,92413.0,98395.0,91531.0,103125,149.0,116.0
Haverhill-Andover,9.313462010627669,Haverhill,Andover,49111.0,70613.0,70891.0,67325.0,69426,88976.0,116723.0,124735.0,120621.0,95600,128.0,9.0
Rockport-Manchester,9.32182162171862,Rockport,,53818.0,67268.0,72069.0,76745.0,85208,,,,,148854,252.0,
Andover-Boxford,9.39963004524344,Andover,Boxford,88976.0,116723.0,124735.0,120621.0,95600,114726.0,150155.0,161052.0,155441.0,184007,9.0,38.0
Methuen-Georgetown,9.416447742331538,Methuen,Georgetown,61849.0,72058.0,70598.0,67179.0,77484,69406.0,85742.0,108485.0,110703.0,128466,181.0,105.0
Haverhill-Amesbury,9.432995428782732,Haverhill,Amesbury,49111.0,70613.0,70891.0,67325.0,69426,52538.0,72417.0,73840.0,81465.0,82468,128.0,7.0
Marblehead-Hamilton,9.476531826064932,Marblehead,Hamilton,78288.0,101935.0,105225.0,105511.0,123333,85278.0,93972.0,102425.0,108375.0,127813,168.0,119.0
Saugus-Danvers,9.57372625400376,Saugus,Danvers,69615.0,80119.0,78669.0,77178.0,88667,71502.0,83636.0,83617.0,81836.0,89250,262.0,71.0
Hamilton-Georgetown,9.644274943153622,Hamilton,Georgetown,85278.0,93972.0,102425.0,108375.0,127813,69406.0,85742.0,108485.0,110703.0,128466,119.0,105.0
Lawrence-Middleton,9.746248479830118,Lawrence,Middleton,39108.0,42398.0,39808.0,34372.0,44613,69693.0,88103.0,115790.0,95330.0,125204,149.0,184.0
Andover-Georgetown,9.747505053932809,Andover,Georgetown,88976.0,116723.0,124735.0,120621.0,95600,69406.0,85742.0,108485.0,110703.0,128466,9.0,105.0
Haverhill-Salisbury,10.109357689480698,Haverhill,Salisbury,49111.0,70613.0,70891.0,67325.0,69426,53766.0,68193.0,70147.0,68369.0,81304,128.0,259.0
Beverly-Saugus,10.167938912426532,Beverly,Saugus,61261.0,75693.0,76796.0,72449.0,80586,69615.0,80119.0,78669.0,77178.0,88667,30.0,262.0
Danvers-Georgetown,10.201636133036132,Danvers,Georgetown,71502.0,83636.0,83617.0,81836.0,89250,69406.0,85742.0,108485.0,110703.0,128466,71.0,105.0
Andover-Lynnfield,10.264085646401904,Andover,Lynnfield,88976.0,116723.0,124735.0,120621.0,95600,101554.0,111927.0,114696.0,95180.0,128641,9.0,164.0
Gloucester-Ipswich,10.286158546833445,Gloucester,Ipswich,51063.0,62480.0,67888.0,65749.0,72574,67379.0,81012.0,81490.0,87819.0,93212,107.0,144.0
Lynn-Boxford,10.36432465025636,Lynn,Boxford,46904.0,54573.0,53153.0,46944.0,56181,114726.0,150155.0,161052.0,155441.0,184007,163.0,38.0
Swampscott-Topsfield,10.457407210268777,Swampscott,Topsfield,78559.0,95930.0,101129.0,98628.0,113407,97976.0,124224.0,137178.0,124982.0,136863,291.0,298.0
Ipswich-Groveland,10.50318592490948,Ipswich,Groveland,67379.0,81012.0,81490.0,87819.0,93212,73695.0,92413.0,98395.0,91531.0,103125,144.0,116.0
North Andover-Rowley,10.595961011815945,North Andover,Rowley,72562.0,98798.0,103461.0,99691.0,108070,64467.0,91679.0,88384.0,81403.0,115909,210.0,254.0
Swampscott-Manchester,10.59850211551116,Swampscott,,78559.0,95930.0,101129.0,98628.0,113407,,,,,148854,291.0,
Marblehead-Topsfield,10.634881963318213,Marblehead,Topsfield,78288.0,101935.0,105225.0,105511.0,123333,97976.0,124224.0,137178.0,124982.0,136863,168.0,298.0
Peabody-Manchester,10.89742855278487,Peabody,,67532.0,76069.0,77998.0,71192.0,73217,,,,,148854,229.0,
Gloucester-Beverly,10.9558361024831,Gloucester,Beverly,51063.0,62480.0,67888.0,65749.0,72574,61261.0,75693.0,76796.0,72449.0,80586,107.0,30.0
Swampscott-Hamilton,10.979043471364784,Swampscott,Hamilton,78559.0,95930.0,101129.0,98628.0,113407,85278.0,93972.0,102425.0,108375.0,127813,291.0,119.0
Manchester-Boxford,11.062451325444878,,Boxford,,,,,148854,114726.0,150155.0,161052.0,155441.0,184007,,38.0
Merrimac-Middleton,11.088968260199872,Merrimac,Middleton,59498.0,78814.0,83493.0,82061.0,84609,69693.0,88103.0,115790.0,95330.0,125204,180.0,184.0
Danvers-Newbury,11.227650685583374,Danvers,Newbury,71502.0,83636.0,83617.0,81836.0,89250,68671.0,84227.0,106459.0,98942.0,101875,71.0,205.0
Hamilton-Lynnfield,11.276499284588269,Hamilton,Lynnfield,85278.0,93972.0,102425.0,108375.0,127813,101554.0,111927.0,114696.0,95180.0,128641,119.0,164.0
Andover-Groveland,11.297377400068251,Andover,Groveland,88976.0,116723.0,124735.0,120621.0,95600,73695.0,92413.0,98395.0,91531.0,103125,9.0,116.0
Haverhill-Newburyport,11.334324255299892,Haverhill,Newburyport,49111.0,70613.0,70891.0,67325.0,69426,55904.0,73810.0,83301.0,82912.0,109839,128.0,206.0
Saugus-Boxford,11.577205900611634,Saugus,Boxford,69615.0,80119.0,78669.0,77178.0,88667,114726.0,150155.0,161052.0,155441.0,184007,262.0,38.0
Lynn-Hamilton,11.58051109203177,Lynn,Hamilton,46904.0,54573.0,53153.0,46944.0,56181,85278.0,93972.0,102425.0,108375.0,127813,163.0,119.0
Lynn-Manchester,11.605556675732252,Lynn,,46904.0,54573.0,53153.0,46944.0,56181,,,,,148854,163.0,
Peabody-Ipswich,11.758579459620153,Peabody,Ipswich,67532.0,76069.0,77998.0,71192.0,73217,67379.0,81012.0,81490.0,87819.0,93212,229.0,144.0
North Andover-Lynnfield,11.938911532163392,North Andover,Lynnfield,72562.0,98798.0,103461.0,99691.0,108070,101554.0,111927.0,114696.0,95180.0,128641,210.0,164.0
Lawrence-Lynnfield,11.95438781934023,Lawrence,Lynnfield,39108.0,42398.0,39808.0,34372.0,44613,101554.0,111927.0,114696.0,95180.0,128641,149.0,164.0
Peabody-Andover,12.063527257128282,Peabody,Andover,67532.0,76069.0,77998.0,71192.0,73217,88976.0,116723.0,124735.0,120621.0,95600,229.0,9.0
Amesbury-Ipswich,12.148935466625495,Amesbury,Ipswich,52538.0,72417.0,73840.0,81465.0,82468,67379.0,81012.0,81490.0,87819.0,93212,7.0,144.0
Lawrence-Rowley,12.169708775426864,Lawrence,Rowley,39108.0,42398.0,39808.0,34372.0,44613,64467.0,91679.0,88384.0,81403.0,115909,149.0,254.0
Rockport-Hamilton,12.217801923766386,Rockport,Hamilton,53818.0,67268.0,72069.0,76745.0,85208,85278.0,93972.0,102425.0,108375.0,127813,252.0,119.0
Beverly-Georgetown,12.234465974400331,Beverly,Georgetown,61261.0,75693.0,76796.0,72449.0,80586,69406.0,85742.0,108485.0,110703.0,128466,30.0,105.0
Peabody-Georgetown,12.41794498133533,Peabody,Georgetown,67532.0,76069.0,77998.0,71192.0,73217,69406.0,85742.0,108485.0,110703.0,128466,229.0,105.0
Methuen-Topsfield,12.442101289657243,Methuen,Topsfield,61849.0,72058.0,70598.0,67179.0,77484,97976.0,124224.0,137178.0,124982.0,136863,181.0,298.0
Danvers-North Andover,12.472701117800066,Danvers,North Andover,71502.0,83636.0,83617.0,81836.0,89250,72562.0,98798.0,103461.0,99691.0,108070,71.0,210.0
Danvers-Andover,12.515988078045464,Danvers,Andover,71502.0,83636.0,83617.0,81836.0,89250,88976.0,116723.0,124735.0,120621.0,95600,71.0,9.0
Rockport-Ipswich,12.51727943650737,Rockport,Ipswich,53818.0,67268.0,72069.0,76745.0,85208,67379.0,81012.0,81490.0,87819.0,93212,252.0,144.0
Beverly-Newbury,12.52232559194136,Beverly,Newbury,61261.0,75693.0,76796.0,72449.0,80586,68671.0,84227.0,106459.0,98942.0,101875,30.0,205.0
Newburyport-Hamilton,12.895687904682754,Newburyport,Hamilton,55904.0,73810.0,83301.0,82912.0,109839,85278.0,93972.0,102425.0,108375.0,127813,206.0,119.0
Gloucester-Marblehead,12.899264511038684,Gloucester,Marblehead,51063.0,62480.0,67888.0,65749.0,72574,78288.0,101935.0,105225.0,105511.0,123333,107.0,168.0
Salem-Ipswich,12.964355516829128,Salem,Ipswich,49457.0,62394.0,62640.0,61917.0,68808,67379.0,81012.0,81490.0,87819.0,93212,258.0,144.0
Methuen-Newbury,12.969386349249572,Methuen,Newbury,61849.0,72058.0,70598.0,67179.0,77484,68671.0,84227.0,106459.0,98942.0,101875,181.0,205.0
Peabody-North Andover,12.983646178047747,Peabody,North Andover,67532.0,76069.0,77998.0,71192.0,73217,72562.0,98798.0,103461.0,99691.0,108070,229.0,210.0
Georgetown-Lynnfield,13.00013446141318,Georgetown,Lynnfield,69406.0,85742.0,108485.0,110703.0,128466,101554.0,111927.0,114696.0,95180.0,128641,105.0,164.0
Haverhill-Middleton,13.045684163488096,Haverhill,Middleton,49111.0,70613.0,70891.0,67325.0,69426,69693.0,88103.0,115790.0,95330.0,125204,128.0,184.0
Gloucester-Danvers,13.162132013870128,Gloucester,Danvers,51063.0,62480.0,67888.0,65749.0,72574,71502.0,83636.0,83617.0,81836.0,89250,107.0,71.0
Lawrence-Danvers,13.219430987655702,Lawrence,Danvers,39108.0,42398.0,39808.0,34372.0,44613,71502.0,83636.0,83617.0,81836.0,89250,149.0,71.0
Lawrence-Peabody,13.34602148618582,Lawrence,Peabody,39108.0,42398.0,39808.0,34372.0,44613,67532.0,76069.0,77998.0,71192.0,73217,149.0,229.0
Ipswich-North Andover,13.514457314090834,Ipswich,North Andover,67379.0,81012.0,81490.0,87819.0,93212,72562.0,98798.0,103461.0,99691.0,108070,144.0,210.0
Andover-Rowley,13.542872599968398,Andover,Rowley,88976.0,116723.0,124735.0,120621.0,95600,64467.0,91679.0,88384.0,81403.0,115909,9.0,254.0
